RANK,NAME,COINS_URL,PRICE,DIRECT_VOLUME,TOTAL_VOLUME,TIER_VOLUME,MARKET_CAP,RATING,PRICE_CHANGE,CHART
1,Bitcoin-BTC,https://www.cryptocompare.com/coins/btc/overview/USD,"$ 21,266.54",$ 1.85 B,$ 12.35 B,$ 12.23 B,$ 405.53 B,B+,"['$ 21,254.26', '$ 1,120.02', '$ 32.08', '$ 0.9990', '$ 0.3178', '$ 1.000', '$ 217.65', '$ 0.5000', '$ 0.06095', '$ 1.000', '$ 6.735', '$ 16.54', '$ 7.452', '$ 0.05795', '$ 45.93', '$ 0.3985', '$ 0.00000826', '$ 3.379', '$ 6.567', '$ 4.551', '$ 113.73', '$ 0.2324', '$ 0.9419', '$ 3.546', '$ 53.27', '$ 0.8652', '$ 1.753', '$ 0.8428', '$ 14.32', '$ 1.233', '$ 0.3109', '$ 0.03360', '$ 0.02360', '$ 0.1123', '$ 110.47', '$ 3.978', '$ 8.384', '$ 1.819', '$ 24.04', '$ 58.80', '$ 0.4540', '$ 5.456', '$ 0.2839', '$ 5.642', '$ 0.3291', '$ 0.009241', '$ 0.7166', '$ 1.421', '$ 9.202', '$ 1.420', '$ 0.00006023', '$ 8.407', '$ 0.3766', '$ 21,253.10', '$ 2.979', '$ 5.477', '$ 0.7049', '$ 0.4460', '$ 0.02700', '$ 0.8751', '$ 1.000', '$ 0.006615', '$ 0.003102', '$ 0.6245', '$ 10.46', '$ 61.83', '$ 52.88', '$ 0.04919', '$ 0.09520', '$ 106.29', '$ 1.004', '$ 1.391', '$ 1.369', '$ 530.55', '$ 50.76', '$ 0.05757', '$ 2.683', '$ 0.0001113', '$ 0.3670', '$ 0.02110', '$ 0.2149', '$ 0.1127', '$ 760.42', '$ 1,852.21', '$ 1.053', '$ 1.716', '$ 0.7475', '$ 1.880', '$ 43.15', '$ 0.8632', '$ 0.02620', '$ 1.177', '$ 0.1012', '$ 0.6056', '$ 4,893.66', '$ 0.06836', '$ 0.1089', '$ 1.509', '$ 0.1476', '$ 0.4091']",https://images.cryptocompare.com/sparkchart/BTC/USD/latest.png?ts=1655401200
2,Ethereum-ETH,https://www.cryptocompare.com/coins/eth/overview/USD,"$ 1,120.29",$ 1.21 B,$ 8.79 B,$ 8.77 B,$ 135.77 B,B+,"['$ 1.85 B', '$ 1.21 B', '$ 432.55 M', '$ 670.42 M', '$ 88.54 M', '$ 11.42 M', '$ 55.57 M', '$ 150.42 M', '$ 67.29 M', '$ 54.30 M', '$ 98.18 M', '$ 90.21 M', '$ 63.50 M', '$ 74.19 M', '$ 40.57 M', '$ 63.38 M', '$ 54.87 M', '$ 2.91 M', '$ 40.27 M', '$ 8.39 M', '$ 30.53 M', '$ 12.84 M', '$ 18.75 M', '$ 51.89 M', '$ 2.88 M', '$ 4.64 M', '$ 492.87 k', '$ 20.63 M', '$ 8.12 M', '$ 180.04 k', '$ 26.48 M', '$ 1.16 M', '$ 3.47 M', '$ 25.10 M', '$ 5.06 M', '$ 13.92 M', '$ 4.12 M', '$ 8,883.98', '$ 24.70 M', '$ 18.65 M', '$ 2.90 M', '$ 3.07 M', '$ 9.73 M', '-', '$ 3.84 M', '$ 8.64 M', '$ 6.56 M', '$ 15.06 M', '$ 556.26 k', '$ 5.46 M', '$ 743.30 k', '$ 2.76 M', '$ 11.29 M', '$ 14.23 M', '$ 322.24', '$ 8.67 M', '$ 7.52 M', '$ 4.28 M', '-', '$ 9.70 M', '$ 39.61 k', '$ 2.43 M', '-', '$ 4.12 M', '$ 4.75 M', '$ 4.50 M', '$ 180.95 k', '$ 2.44 M', '$ 1.11 M', '$ 708.79', '$ 7.79 M', '$ 3.16 M', '-', '$ 3.32 M', '$ 3.82 M', '$ 28.23 M', '$ 3.76 M', '$ 0', '$ 244.74 k', '$ 841.74 k', '$ 367.95 k', '$ 6.60 M', '$ 5.50 M', '$ 763.88 k', '$ 0', '-', '-', '$ 3.40 M', '$ 2.55 M', '-', '$ 1.40 M', '$ 1.84 M', '$ 4.98 M', '$ 783.93 k', '$ 6.98 M', '$ 1.46 M', '$ 62.33 k', '$ 1.10 M', '$ 10.83 k', '$ 0']",https://images.cryptocompare.com/sparkchart/ETH/USD/latest.png?ts=1655401200
3,Solana-SOL,https://www.cryptocompare.com/coins/sol/overview/USD,$ 32.12,$ 432.50 M,$ 1.19 B,$ 1.19 B,$ 16.80 B,D,"['$ 12.34 B', '$ 8.79 B', '$ 1.19 B', '$ 1.15 B', '$ 948.32 M', '$ 862.75 M', '$ 836.49 M', '$ 832.00 M', '$ 706.34 M', '$ 615.82 M', '$ 476.88 M', '$ 449.01 M', '$ 381.28 M', '$ 376.44 M', '$ 301.41 M', '$ 252.75 M', '$ 227.52 M', '$ 181.11 M', '$ 178.90 M', '$ 160.10 M', '$ 154.58 M', '$ 145.85 M', '$ 143.74 M', '$ 158.98 M', '$ 120.65 M', '$ 119.33 M', '$ 118.93 M', '$ 118.10 M', '$ 114.56 M', '$ 101.67 M', '$ 97.81 M', '$ 94.36 M', '$ 94.90 M', '$ 91.80 M', '$ 87.87 M', '$ 84.82 M', '$ 78.45 M', '$ 75.66 M', '$ 72.56 M', '$ 68.71 M', '$ 66.34 M', '$ 66.73 M', '$ 66.62 M', '$ 63.07 M', '$ 62.07 M', '$ 60.56 M', '$ 59.47 M', '$ 59.18 M', '$ 60.11 M', '$ 55.39 M', '$ 54.96 M', '$ 55.04 M', '$ 54.73 M', '$ 52.27 M', '$ 46.17 M', '$ 44.97 M', '$ 44.19 M', '$ 43.74 M', '$ 43.59 M', '$ 40.63 M', '$ 40.56 M', '$ 39.16 M', '$ 38.65 M', '$ 37.99 M', '$ 39.59 M', '$ 37.91 M', '$ 36.68 M', '$ 35.02 M', '$ 35.33 M', '$ 33.44 M', '$ 33.07 M', '$ 32.77 M', '$ 32.70 M', '$ 33.00 M', '$ 31.21 M', '$ 30.57 M', '$ 30.45 M', '$ 30.48 M', '$ 29.82 M', '$ 29.53 M', '$ 28.36 M', '$ 28.29 M', '$ 27.69 M', '$ 27.64 M', '$ 27.31 M', '$ 27.08 M', '$ 26.46 M', '$ 26.51 M', '$ 25.39 M', '$ 26.19 M', '$ 24.07 M', '$ 25.01 M', '$ 22.51 M', '$ 22.89 M', '$ 26.10 M', '$ 21.71 M', '$ 21.61 M', '$ 20.68 M', '$ 20.58 M', '$ 3.18 M']",https://images.cryptocompare.com/sparkchart/SOL/USD/latest.png?ts=1655401200
4,Tether-USDT,https://www.cryptocompare.com/coins/usdt/overview/USD,$ 0.9990,$ 670.38 M,$ 1.15 B,$ 1.12 B,$ 69.97 B,,"['$ 12.23 B', '$ 8.76 B', '$ 1.19 B', '$ 1.12 B', '$ 943.51 M', '$ 862.75 M', '$ 836.49 M', '$ 830.86 M', '$ 700.25 M', '$ 607.06 M', '$ 468.66 M', '$ 448.74 M', '$ 381.28 M', '$ 368.93 M', '$ 300.81 M', '$ 245.87 M', '$ 227.52 M', '$ 181.11 M', '$ 178.58 M', '$ 159.43 M', '$ 151.16 M', '$ 145.85 M', '$ 141.13 M', '$ 139.87 M', '$ 120.65 M', '$ 119.33 M', '$ 118.93 M', '$ 117.45 M', '$ 106.69 M', '$ 101.47 M', '$ 97.81 M', '$ 94.36 M', '$ 93.97 M', '$ 91.48 M', '$ 87.87 M', '$ 84.82 M', '$ 77.93 M', '$ 75.66 M', '$ 72.56 M', '$ 68.71 M', '$ 66.34 M', '$ 66.73 M', '$ 66.62 M', '$ 63.07 M', '$ 62.04 M', '$ 60.56 M', '$ 58.64 M', '$ 58.40 M', '$ 56.61 M', '$ 55.39 M', '$ 54.96 M', '$ 54.85 M', '$ 54.73 M', '$ 51.87 M', '$ 45.79 M', '$ 44.90 M', '$ 44.19 M', '$ 43.70 M', '$ 43.59 M', '$ 40.63 M', '$ 40.56 M', '$ 39.16 M', '$ 38.65 M', '$ 37.99 M', '$ 37.51 M', '$ 37.08 M', '$ 36.68 M', '$ 34.99 M', '$ 34.11 M', '$ 33.44 M', '$ 33.07 M', '$ 32.77 M', '$ 32.70 M', '$ 33.00 M', '$ 31.21 M', '$ 30.57 M', '$ 30.45 M', '$ 30.48 M', '$ 29.82 M', '$ 29.53 M', '$ 28.36 M', '$ 28.29 M', '$ 27.69 M', '$ 27.64 M', '$ 27.31 M', '$ 27.08 M', '$ 26.46 M', '$ 26.51 M', '$ 25.39 M', '$ 24.13 M', '$ 24.07 M', '$ 22.65 M', '$ 22.51 M', '$ 22.25 M', '$ 22.19 M', '$ 21.71 M', '$ 21.61 M', '$ 20.68 M', '$ 20.58 M', '$ 3.18 M']",https://images.cryptocompare.com/sparkchart/USDT/USD/latest.png?ts=1655401200
5,XRP-XRP,https://www.cryptocompare.com/coins/xrp/overview/USD,$ 0.3179,$ 88.54 M,$ 948.54 M,$ 943.72 M,$ 31.79 B,C+,"['$ 405.30 B', '$ 135.73 B', '$ 16.78 B', '$ 69.97 B', '$ 31.78 B', '$ 17.67 B', '$ 35.54 B', '$ 16.72 B', '$ 6.05 B', '$ 54.62 B', '$ 6.74 B', '$ 6.70 B', '$ 8.97 B', '$ 7.82 B', '$ 3.24 B', '$ 3.99 B', '$ 4.87 B', '$ 2.42 B', '$ 1.96 B', '$ 494.01 M', '$ 2.17 B', '$ 628.25 M', '$ 996.06 M', '$ 3.55 B', '$ 1.27 B', '$ 2.60 B', '$ 75.44 M', '$ 1.85 B', '$ 3.87 B', '$ 1.23 B', '$ 2.26 B', '$ 544.85 M', '$ 2.03 B', '$ 5.62 B', '$ 2.00 B', '$ 3.98 B', '$ 63.21 M', '$ 909.50 M', '$ 7.58 B', '$ 940.80 M', '$ 192.95 M', '$ 1.20 B', '$ 283.90 M', '$ 56.42 M', '$ 493.65 M', '$ 462.05 M', '$ 1.43 B', '$ 1.31 B', '$ 920.20 M', '$ 282.52 M', '$ 415.97 M', '$ 840.70 M', '$ 517.40 M', '$ 5.73 B', '$ 448.02 M', '$ 2.65 B', '$ 1.25 B', '$ 446.00 M', '$ 267.33 M', '$ 228.40 M', '$ 854.64 M', '$ 661.50 M', '$ 93.06 M', '$ 3.66 B', '$ 1.27 B', '$ 775.94 M', '$ 1.01 B', '$ 491.90 M', '$ 846.22 M', '$ 41.67 M', '$ 243.67 M', '$ 157.38 M', '$ 91.19 M', '$ 21.22 M', '$ 489.90 M', '$ 2.17 B', '$ 288.79 M', '$ 110.58 M', '$ 104.73 M', '$ 233.39 M', '$ 214.90 M', '$ 3.41 B', '$ 743.41 M', '$ 620.16 M', '$ 130.68 M', '$ 317.14 M', '$ 74.75 M', '$ 263.66 M', '$ 465.18 M', '$ 86.32 M', '$ 353.57 M', '$ 1.18 B', '$ 1.05 B', '$ 908.40 M', '$ 179.43 M', '$ 1.44 B', '$ 108.89 M', '$ 1.56 B', '-', '$ 4.66 M']",https://images.cryptocompare.com/sparkchart/XRP/USD/latest.png?ts=1655401200
6,BUSD-BUSD,https://www.cryptocompare.com/coins/busd/overview/USD,$ 1.000,$ 11.42 M,$ 862.69 M,$ 862.69 M,$ 17.67 B,,"['B+', 'B+', 'D', '', 'C+', '', 'C-', 'B-', 'C', '', 'B-', '', 'B-', 'C', 'B-', 'B-', '', 'D', 'C', 'C-', 'C', 'C', 'C-', '', 'D+', 'B-', 'C', 'B-', 'C+', '', 'D+', 'C-', 'C-', 'B-', 'C+', 'B', 'C', 'C+', 'C+', 'B-', 'C', 'E+', 'C+', '', 'C+', '', '', 'C', 'C', 'B-', 'E', '', 'C+', '', '', 'D+', 'B-', 'C+', 'C+', 'C', '', 'C', 'C-', '', '', 'C+', 'C', '', '', '', 'C+', '', 'C', 'C-', 'E+', '', 'C', 'C', 'C', 'D+', 'C+', 'C+', 'B-', '', '', '', '', 'D', 'C+', 'C-', '', '', '', '', 'C', '', '', '', '', 'E-']",https://images.cryptocompare.com/sparkchart/BUSD/USD/latest.png?ts=1655401200
7,Binance Coin-BNB,https://www.cryptocompare.com/coins/bnb/overview/USD,$ 217.77,$ 55.57 M,$ 836.84 M,$ 836.84 M,$ 35.56 B,C-,"['0.87%', '0.68%', '8.31%', '-0.01%', '2.68%', '0.03%', '2.36%', '1.94%', '6.76%', '0.01%', '4.35%', '3.25%', '3.69%', '6.37%', '0.97%', '4.48%', '2.99%', '1.93%', '-0.95%', '3.64%', '-2.39%', '2.29%', '3.40%', '6.10%', '16.13%', '2.55%', '17.10%', '1.80%', '5.53%', '11.25%', '0.52%', '1.51%', '2.65%', '2.28%', '1.39%', '1.38%', '27.86%', '3.80%', '2.47%', '0.53%', '26.92%', '1.53%', '19.49%', '0.93%', '4.74%', '-0.09%', '4.17%', '3.87%', '1.78%', '5.34%', '3.67%', '-0.47%', '1.32%', '0.90%', '1.42%', '2.01%', '2.59%', '2.20%', '2.88%', '-4.58%', '-0.01%', '5.17%', '20.99%', '2.28%', '10.36%', '-3.54%', '6.88%', '1.19%', '4.28%', '16.02%', '3.12%', '11.55%', '3.84%', '-6.14%', '1.56%', '-1.77%', '1.51%', '5.37%', '6.50%', '13.44%', '2.09%', '1.17%', '3.51%', '1.48%', '1.72%', '7.09%', '-2.04%', '1.84%', '3.06%', '-0.22%', '-1.13%', '2.71%', '-0.59%', '5.34%', '1.63%', '5.12%', '2.43%', '1.34%', '5.19%', '104.73%']",https://images.cryptocompare.com/sparkchart/BNB/USD/latest.png?ts=1655401200
8,Cardano-ADA,https://www.cryptocompare.com/coins/ada/overview/USD,$ 0.5002,$ 150.41 M,$ 832.25 M,$ 831.10 M,$ 16.73 B,B-,"['$ 6.724', '$ 16.52', '$ 0.2320', '$ 3.972', '$ 8.382', '$ 1.817', '$ 58.81', '$ 0.2835', '$ 1.418', '$ 0.3760', '$ 21,226.44', '$ 2.976', '$ 0.7059', '$ 0.4454', '$ 0.02697', '$ 0.8751', '$ 0.006600', '$ 106.39', '$ 1.004', '$ 522.24', '$ 1.391', '$ 2.684', '$ 0.3670', '$ 0.2144', '$ 759.12', '$ 0.8630', '$ 0.1010', '$ 0.6038', '$ 4,896.54', '$ 0.1089', '$ 2.365', '$ 0.8770', '$ 31.81', '$ 1.000', '$ 1.657', '$ 37.75', '$ 0.03330', '$ 1.416', '$ 0.08740', '$ 0.002042', '$ 0.09110', '$ 0.6186', '$ 1.821', '$ 0.09777', '$ 0.6880', '$ 0.03855', '$ 0.1770', '$ 0.1288', '$ 1.415', '$ 0.004591', '$ 22.57', '$ 0.1841', '$ 3.593', '$ 4.468', '$ 0.001379', '$ 11.13', '$ 0.03585', '$ 0.6012', '$ 0.3978', '$ 0.01544', '$ 0.009122', '$ 1.193', '$ 3.241', '$ 218.20', '$ 0.08480', '$ 0.05413', '$ 0.1789', '$ 0.1990', '$ 19.78', '$ 10.00', '$ 379.44', '$ 0.03489', '$ 0.009001', '$ 1.421', '$ 0.2069', '$ 16.23', '$ 8.250', '$ 0.1683', '$ 0.2014', '$ 5.720', '$ 0.7925', '$ 0.2536', '$ 0.03387', '$ 57.54', '$ 0.1628', '$ 17.00', '$ 0.06314', '$ 0.004558', '$ 0.06048', '$ 0.3077', '$ 0.4363', '$ 0.08676', '$ 0.3417', '$ 0.07956', '$ 0.05314', '$ 0.1887', '$ 0.9231', '$ 0.1560', '$ 20.56', '$ 0.2392']",https://images.cryptocompare.com/sparkchart/ADA/USD/latest.png?ts=1655401200
9,TRON-TRX,https://www.cryptocompare.com/coins/trx/overview/USD,$ 0.06096,$ 67.29 M,$ 706.44 M,$ 700.35 M,$ 6.05 B,C,"['$ 98.20 M', '$ 90.25 M', '$ 12.84 M', '$ 13.94 M', '$ 4.12 M', '$ 8,883.98', '$ 18.65 M', '$ 9.73 M', '$ 5.47 M', '$ 11.30 M', '$ 14.23 M', '$ 322.24', '$ 7.53 M', '$ 4.28 M', '-', '$ 9.70 M', '$ 2.43 M', '$ 708.79', '$ 7.79 M', '$ 3.32 M', '$ 3.16 M', '$ 3.76 M', '$ 244.74 k', '$ 368.19 k', '$ 5.50 M', '-', '$ 4.98 M', '$ 783.94 k', '$ 6.98 M', '$ 62.33 k', '$ 710.90 k', '$ 1.85 M', '$ 3.04 M', '$ 6.49 M', '$ 1.46 M', '$ 3.49 M', '$ 309.63 k', '$ 1.19 M', '$ 1.59 M', '$ 1,991.48', '$ 1.72 M', '$ 1.15 M', '$ 2.29 M', '$ 2.46 M', '$ 7.12 M', '-', '$ 1.91 M', '$ 12.14 k', '$ 29.86 k', '$ 21.05 k', '$ 2.67 M', '$ 1,645.21', '-', '$ 505.91 k', '-', '$ 440.29 k', '$ 27.74 k', '$ 535.51 k', '-', '-', '$ 1.70 M', '$ 211.31 k', '$ 539.21 k', '-', '$ 384.72 k', '-', '$ 155.55 k', '$ 41.91 k', '$ 270.08 k', '$ 82.47 k', '-', '-', '$ 0', '$ 0', '-', '$ 1.03 M', '$ 398.88 k', '-', '$ 7,971.09', '$ 913.40 k', '$ 391.90 k', '-', '-', '$ 520.59 k', '$ 464.62 k', '$ 90.76 k', '$ 332.19 k', '-', '$ 0', '-', '-', '$ 4,478.76', '-', '$ 123.66 k', '-', '-', '$ 125.79 k', '-', '$ 73.59 k', '$ 0']",https://images.cryptocompare.com/sparkchart/TRX/USD/latest.png?ts=1655401200
10,USD Coin-USDC,https://www.cryptocompare.com/coins/usdc/overview/USD,$ 1.000,$ 54.29 M,$ 615.81 M,$ 607.06 M,$ 54.62 B,,"['$ 476.19 M', '$ 448.89 M', '$ 145.66 M', '$ 84.73 M', '$ 78.44 M', '$ 75.59 M', '$ 68.74 M', '$ 66.53 M', '$ 55.35 M', '$ 54.71 M', '$ 52.21 M', '$ 46.15 M', '$ 44.30 M', '$ 43.69 M', '$ 43.56 M', '$ 40.65 M', '$ 39.08 M', '$ 33.47 M', '$ 33.08 M', '$ 32.49 M', '$ 32.77 M', '$ 30.46 M', '$ 29.83 M', '$ 28.30 M', '$ 27.65 M', '$ 26.21 M', '$ 22.47 M', '$ 22.83 M', '$ 26.12 M', '$ 21.62 M', '$ 20.35 M', '$ 19.77 M', '$ 19.56 M', '$ 16.90 M', '$ 16.27 M', '$ 16.29 M', '$ 13.76 M', '$ 12.56 M', '$ 13.06 M', '$ 12.07 M', '$ 10.76 M', '$ 9.54 M', '$ 9.28 M', '$ 9.07 M', '$ 8.81 M', '$ 8.80 M', '$ 8.61 M', '$ 7.28 M', '$ 6.61 M', '$ 6.32 M', '$ 5.71 M', '$ 5.17 M', '$ 5.29 M', '$ 5.10 M', '$ 5.03 M', '$ 4.66 M', '$ 4.17 M', '$ 4.19 M', '$ 3.47 M', '$ 3.25 M', '$ 3.03 M', '$ 2.47 M', '$ 2.18 M', '$ 1.98 M', '$ 1.92 M', '$ 1.88 M', '$ 2.44 M', '$ 2.09 M', '$ 1.58 M', '$ 1.46 M', '$ 1.36 M', '$ 1.13 M', '$ 1.14 M', '$ 1.09 M', '$ 1.04 M', '$ 1.31 M', '$ 992.02 k', '$ 867.59 k', '$ 1.18 M', '$ 745.75 k', '$ 792.76 k', '$ 653.65 k', '$ 594.69 k', '$ 589.68 k', '$ 546.52 k', '$ 461.07 k', '$ 431.53 k', '$ 415.52 k', '$ 360.62 k', '$ 324.64 k', '$ 304.90 k', '$ 467.95 k', '$ 223.60 k', '$ 221.95 k', '$ 201.76 k', '$ 137.16 k', '$ 126.53 k', '$ 101.88 k', '$ 89.84 k', '$ 80.55 k']",https://images.cryptocompare.com/sparkchart/USDC/USD/latest.png?ts=1655401200
